,tucaseid,tulineno,eeincome1,erbmi,erhhch,erincome,erspemch,ertpreat,ertseat,ethgt,etwgt,eudietsoda,eudrink,eueat,euexercise,euexfreq,eufastfd,eufastfdfrq,euffyday,eufdsit,eufinlwgt,eusnap,eugenhth,eugroshp,euhgt,euinclvl,euincome2,eumeat,eumilk,euprpmel,eusoda,eustores,eustreason,eutherm,euwgt,euwic,exincome1
8026,20140908141818,1,1.0,27.5,3,1.0,5.0,45,35,0.0,0.0,,2,1,1.0,2.0,1.0,3.0,2.0,1.0,5190670.0,2.0,3.0,1,63.0,5,,1.0,2.0,1.0,,1.0,1.0,2.0,155.0,2.0,0.0
8027,20140908141819,1,3.0,21.5,3,2.0,5.0,90,0,0.0,0.0,,2,2,1.0,4.0,1.0,1.0,2.0,1.0,5403199.0,2.0,2.0,2,70.0,5,,,,2.0,,,,,150.0,,0.0
8028,20140908141820,1,1.0,28.200001,3,1.0,,20,17,0.0,0.0,,1,1,1.0,3.0,2.0,,,1.0,5693393.0,2.0,3.0,1,67.0,5,,1.0,2.0,1.0,2.0,1.0,4.0,2.0,180.0,,0.0
8029,20140908141825,1,2.0,29.299999,3,5.0,,80,0,0.0,0.0,,2,2,1.0,6.0,1.0,3.0,2.0,1.0,19900000.0,2.0,2.0,2,71.0,5,2.0,,,2.0,,,,,210.0,,0.0
8030,20140908141826,1,1.0,36.599998,3,1.0,5.0,30,0,0.0,0.0,,1,2,2.0,,2.0,,,1.0,9208139.0,2.0,3.0,1,65.0,5,,1.0,2.0,1.0,2.0,3.0,1.0,2.0,220.0,2.0,0.0
8031,20140908141828,1,1.0,22.799999,3,1.0,5.0,0,60,0.0,0.0,2.0,1,1,1.0,9.0,1.0,2.0,1.0,1.0,3396678.0,2.0,2.0,3,68.0,5,,,,2.0,1.0,1.0,2.0,,150.0,2.0,0.0
8032,20140908141831,1,2.0,,3,3.0,5.0,210,0,0.0,,,2,2,2.0,,2.0,,,2.0,6965401.0,2.0,5.0,1,60.0,5,1.0,1.0,2.0,1.0,,1.0,2.0,2.0,-2.0,,0.0
8033,20140908141833,1,1.0,26.5,3,1.0,5.0,25,0,0.0,0.0,,1,2,1.0,3.0,1.0,3.0,1.0,1.0,3618779.0,2.0,1.0,1,70.0,5,,1.0,2.0,1.0,2.0,1.0,3.0,2.0,185.0,2.0,0.0
8034,20140908141834,1,1.0,28.299999,3,1.0,5.0,75,20,0.0,0.0,,2,1,2.0,,2.0,,,1.0,3073206.0,2.0,3.0,2,64.0,5,,,,2.0,,,,,165.0,2.0,0.0
8035,20140908141847,1,1.0,31.9,3,1.0,5.0,30,10,0.0,0.0,2.0,1,1,2.0,,1.0,4.0,1.0,1.0,4927974.0,2.0,2.0,1,63.0,5,,1.0,2.0,1.0,1.0,2.0,1.0,2.0,180.0,2.0,0.0
8036,20140908141851,1,1.0,22.9,3,1.0,,10,0,0.0,0.0,,2,2,1.0,2.0,2.0,,,1.0,21500000.0,-2.0,3.0,1,62.0,5,-2.0,1.0,2.0,1.0,,1.0,1.0,2.0,125.0,-2.0,75.0
