Unnamed: 0,erbmi,ertpreat,eudrink,eueat,euexercise,eufastfd,eufdsit,euprpmel,eusoda,eugenhth,codified_bmi,codified_health
229,30.0,25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,3,2
230,37.700001,60,1.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,3,2
233,29.200001,50,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,3,1
234,28.0,180,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3,1
235,31.6,45,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3,1
236,32.900002,25,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,3,2
237,31.6,115,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,3,1
238,21.200001,35,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2,1
239,28.0,30,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3,1
240,20.0,45,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2,1
241,31.0,0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,3,2
245,22.799999,10,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2,1
246,29.0,50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3,1
247,35.099998,30,1.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,3,2
249,28.299999,195,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,3,1
250,33.200001,130,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3,1
254,37.099998,47,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3,1
255,42.900002,30,1.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,3,2
256,42.599998,45,1.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,3,2
257,33.099998,40,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3,1
258,38.099998,46,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3,1
259,25.1,75,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3,1
260,21.200001,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1
261,27.4,30,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3,1
262,22.0,180,1.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2,2
263,26.6,60,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,3,1
264,25.1,40,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,3,1
265,37.400002,25,1.0,1.0,2.0,2.0,2.0,1.0,2.0,5.0,3,2
266,25.700001,70,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3,1
267,22.1,60,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2,1
269,25.1,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3,1
270,21.6,50,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2,1
272,25.6,100,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,3,2
273,22.700001,55,1.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,2,2
274,34.200001,60,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3,1
275,33.5,45,1.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,3,2
276,34.400002,60,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,3,2
278,29.0,75,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3,1
279,40.0,15,1.0,1.0,2.0,1.0,1.0,3.0,1.0,5.0,3,2
280,32.099998,105,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,3,1
284,38.099998,30,1.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,3,2
285,39.0,15,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3,1
287,30.200001,55,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3,1
289,17.799999,35,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1,1
290,24.799999,32,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2,1
293,19.6,80,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2,1
295,32.900002,65,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,3,2
296,20.1,55,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2,2
297,33.200001,130,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,3,1
299,23.5,40,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2,1
301,25.799999,45,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3,1
302,24.0,170,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2,1
303,21.299999,135,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2,1
304,30.1,20,1.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,3,2
305,30.9,65,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3,1
307,26.200001,40,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,3,1
308,19.5,75,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2,1
309,19.4,30,1.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,2,2
310,27.4,30,1.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,3,2
311,35.0,60,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,3,1
312,31.0,60,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3,1
313,24.299999,60,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2,1
314,38.400002,25,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,3,2
316,43.200001,60,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,3,1
321,28.700001,125,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,3,1
323,29.299999,135,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3,1
324,27.299999,35,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3,1
325,30.700001,15,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3,1
326,23.4,50,1.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2,1
327,39.5,30,1.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,3,1
328,32.599998,100,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,3,2
329,27.5,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3,2
330,20.299999,135,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2,1
